ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	FontStyle	RunTrialNumber[Session]	TrialsPerRun	ConsecNonResp[Session]	ConsecSameResp[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	ExperimenterWindow.OnsetDelay[Session]	ExperimenterWindow.OnsetTime[Session]	ExperimenterWindow.DurationError[Session]	ExperimenterWindow.OnsetToOnsetTime[Session]	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	Procedure	CountDownList	Stimulus	CountDownList.Cycle	CountDownList.Sample	Running	CountDownSlide.OnsetDelay	CountDownSlide.OnsetTime	CountDownSlide.DurationError	CountDownSlide.FinishTime	CountDownSlide.OnsetToOnsetTime	SOCIALList	RunID	SocialRun1List	Movie	Type	Run	Order	RunTrialNumber[Block]	ConsecNonResp[Block]	ConsecSameResp[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ExperimenterWindow.OnsetDelay[Block]	ExperimenterWindow.OnsetTime[Block]	ExperimenterWindow.DurationError[Block]	ExperimenterWindow.OnsetToOnsetTime[Block]	SOCIALList.Cycle	SOCIALList.Sample	MovieSlide.OnsetDelay	MovieSlide.OnsetTime	MovieSlide.DurationError	MovieSlide.OnsetToOnsetTime	ResponseSlide.OnsetDelay	ResponseSlide.OnsetTime	ResponseSlide.DurationError	ResponseSlide.RTTime	ResponseSlide.ACC	ResponseSlide.RT	ResponseSlide.RESP	ResponseSlide.CRESP	ResponseSlide.OnsetToOnsetTime	FixationBlock.OnsetDelay	FixationBlock.OnsetTime	FixationBlock.DurationError	FixationBlock.OnsetToOnsetTime	Block
SOCIAL080112	100610_fncb	2	1	1	-570170688	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	6857	-999999	0	30	10669	-999999	0	38	212598	3	14	5	227565	2	226560	14	19	227579	-999999	227568	0	CountDownPROC	1	4	1	1	CountDownList	14	29461	-15	31246	0																																				1
SOCIAL080112	100610_fncb	2	1	1	-570170688	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	6857	-999999	0	30	10669	-999999	0	38	212598	3	14	5	227565	2	226560	14	19	227579	-999999	227568	0	CountDownPROC	2	3	1	2	CountDownList	0	31447	-1	33246	0																																				2
SOCIAL080112	100610_fncb	2	1	1	-570170688	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	6857	-999999	0	30	10669	-999999	0	38	212598	3	14	5	227565	2	226560	14	19	227579	-999999	227568	0	CountDownPROC	3	2	1	3	CountDownList	13	33460	-14	35246	0																																				3
SOCIAL080112	100610_fncb	2	1	1	-570170688	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	6857	-999999	0	30	10669	-999999	0	38	212598	3	14	5	227565	2	226560	14	19	227579	-999999	227568	0	CountDownPROC	4	1	1	4	CountDownList	12	35459	-13	37246	0																																				4
SOCIAL080112	100610_fncb	2	1	1	-570170688	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	6857	-999999	0	30	10669	-999999	0	38	212598	3	14	5	227565	2	226560	14	19	227579	-999999	227568	0	SOCIALrunPROC					SOCIALList						2	2		Scaring.AVI	Mental	Run 1	6	2	0	1	1	0	52	60515	3	0	2	1	224	37671	-225	19792	16	57463	-1	58249	0	786	2	""	3052					5
SOCIAL080112	100610_fncb	2	1	1	-570170688	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	6857	-999999	0	30	10669	-999999	0	38	212598	3	14	5	227565	2	226560	14	19	227579	-999999	227568	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	2														65	60528	-66	0	6
SOCIAL080112	100610_fncb	2	1	1	-570170688	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	6857	-999999	0	30	10669	-999999	0	38	212598	3	14	5	227565	2	226560	14	19	227579	-999999	227568	0	SOCIALrunPROC					SOCIALList						2	2		SEDUCING-B.AVI	Mental	Run 1	7	3	0	2	2	0	52	98539	3	0	2	3	6	75469	-7	20018	24	95487	-1	96189	0	702	2	""	3052					7
SOCIAL080112	100610_fncb	2	1	1	-570170688	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	6857	-999999	0	30	10669	-999999	0	38	212598	3	14	5	227565	2	226560	14	19	227579	-999999	227568	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	4														65	98552	-66	0	8
SOCIAL080112	100610_fncb	2	1	1	-570170688	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	6857	-999999	0	30	10669	-999999	0	38	212598	3	14	5	227565	2	226560	14	19	227579	-999999	227568	0	SOCIALrunPROC					SOCIALList						2	2		STAR-A.AVI	Random	Run 1	8	4	0	1	3	0	39	136550	1	0	2	5	6	113493	-7	20018	24	133511	-1	134411	0	900	4	""	3039					9
SOCIAL080112	100610_fncb	2	1	1	-570170688	1	75.031	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	6857	-999999	0	30	10669	-999999	0	38	212598	3	14	5	227565	2	226560	14	19	227579	-999999	227568	0	FixationBlockPROC					SOCIALList						2	2		?	?	?	?										2	6														52	136563	-53	0	10
