ExperimentName	HCPID	RunNumber	Subject	Session	RandomSeed	Group	Laptop.RefreshRate	ScannerD2.RefreshRate	StudioVersion	RuntimeVersion	RuntimeVersionExpected	ExperimentVersion	triggercode	Allowed	FontStyle	RunTrialNumber[Session]	TrialsPerRun	ConsecNonResp[Session]	ConsecSameResp[Session]	TotalRespGreater200[Session]	ConsecRTLess200[Session]	StimuliDir	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	IntroButtonMap.OnsetToOnsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	GetReady.OnsetToOnsetTime	ExperimenterWindow.OnsetDelay[Session]	ExperimenterWindow.OnsetTime[Session]	ExperimenterWindow.DurationError[Session]	ExperimenterWindow.OnsetToOnsetTime[Session]	ExpInstrucFeelFreeToRest.OnsetDelay	ExpInstrucFeelFreeToRest.OnsetTime	ExpInstrucFeelFreeToRest.DurationError	ExpInstrucFeelFreeToRest.StartTime	ExpInstrucFeelFreeToRest.OnsetToOnsetTime	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	FeelFreeToRest.OnsetToOnsetTime	Procedure	CountDownList	Stimulus	CountDownList.Cycle	CountDownList.Sample	Running	CountDownSlide.OnsetDelay	CountDownSlide.OnsetTime	CountDownSlide.DurationError	CountDownSlide.FinishTime	CountDownSlide.OnsetToOnsetTime	SOCIALList	RunID	SocialRun1List	Movie	Type	Run	Order	RunTrialNumber[Block]	ConsecNonResp[Block]	ConsecSameResp[Block]	TotalRespGreater200[Block]	ConsecRTLess200[Block]	ExperimenterWindow.OnsetDelay[Block]	ExperimenterWindow.OnsetTime[Block]	ExperimenterWindow.DurationError[Block]	ExperimenterWindow.OnsetToOnsetTime[Block]	SOCIALList.Cycle	SOCIALList.Sample	MovieSlide.OnsetDelay	MovieSlide.OnsetTime	MovieSlide.DurationError	MovieSlide.OnsetToOnsetTime	ResponseSlide.OnsetDelay	ResponseSlide.OnsetTime	ResponseSlide.DurationError	ResponseSlide.RTTime	ResponseSlide.ACC	ResponseSlide.RT	ResponseSlide.RESP	ResponseSlide.CRESP	ResponseSlide.OnsetToOnsetTime	FixationBlock.OnsetDelay	FixationBlock.OnsetTime	FixationBlock.DurationError	FixationBlock.OnsetToOnsetTime	Block
SOCIAL080112	100610_fncb	1	1	1	-1311470539	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5409	-999999	0	41	19390	-999999	0	39	216188	2	13	6	231155	3	230149	13	19	231168	-999999	231158	0	CountDownPROC	1	4	1	1	CountDownList	27	33051	-28	34823	0																																				1
SOCIAL080112	100610_fncb	1	1	1	-1311470539	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5409	-999999	0	41	19390	-999999	0	39	216188	2	13	6	231155	3	230149	13	19	231168	-999999	231158	0	CountDownPROC	2	3	1	2	CountDownList	12	35036	-13	36823	0																																				2
SOCIAL080112	100610_fncb	1	1	1	-1311470539	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5409	-999999	0	41	19390	-999999	0	39	216188	2	13	6	231155	3	230149	13	19	231168	-999999	231158	0	CountDownPROC	3	2	1	3	CountDownList	12	37036	-13	38823	0																																				3
SOCIAL080112	100610_fncb	1	1	1	-1311470539	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5409	-999999	0	41	19390	-999999	0	39	216188	2	13	6	231155	3	230149	13	19	231168	-999999	231158	0	CountDownPROC	4	1	1	4	CountDownList	11	39035	-12	40823	0																																				4
SOCIAL080112	100610_fncb	1	1	1	-1311470539	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5409	-999999	0	41	19390	-999999	0	39	216188	2	13	6	231155	3	230149	13	19	231168	-999999	231158	0	SOCIALrunPROC					SOCIALList						1	1	1	COAXING-B.AVI	Mental	Run 1	1	2	0	1	1	0	52	64104	3	0	2	1	237	41261	-235	19791	28	61052	-1	62409	0	1357	2	""	3052					5
SOCIAL080112	100610_fncb	1	1	1	-1311470539	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5409	-999999	0	41	19390	-999999	0	39	216188	2	13	6	231155	3	230149	13	19	231168	-999999	231158	0	FixationBlockPROC					SOCIALList						1	1	2	?	?	?	?										2	2														66	64118	-67	0	6
SOCIAL080112	100610_fncb	1	1	1	-1311470539	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5409	-999999	0	41	19390	-999999	0	39	216188	2	13	6	231155	3	230149	13	19	231168	-999999	231158	0	SOCIALrunPROC					SOCIALList						1	1	3	BILLIARD-A.AVI	Random	Run 1	2	3	0	1	2	0	53	102129	2	0	2	3	6	79058	-7	20018	24	99076	-1	99924	0	848	4	""	3053					7
SOCIAL080112	100610_fncb	1	1	1	-1311470539	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5409	-999999	0	41	19390	-999999	0	39	216188	2	13	6	231155	3	230149	13	19	231168	-999999	231158	0	FixationBlockPROC					SOCIALList						1	1	4	?	?	?	?										2	4														66	102142	-67	0	8
SOCIAL080112	100610_fncb	1	1	1	-1311470539	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5409	-999999	0	41	19390	-999999	0	39	216188	2	13	6	231155	3	230149	13	19	231168	-999999	231158	0	SOCIALrunPROC					SOCIALList						1	1	5	DRIFTING-A.AVI	Random	Run 1	3	4	0	2	3	0	38	140139	3	0	2	5	6	117082	-7	20019	25	137101	-1	137913	0	812	4	""	3038					9
SOCIAL080112	100610_fncb	1	1	1	-1311470539	1	75.032	75.031	2.0.10.147	2.0.10.242	2.0.10.242	1.0.0.291	7	234	Verdana	1	5	0	0	0	0	SOCIAL Stimuli\	101	5409	-999999	0	41	19390	-999999	0	39	216188	2	13	6	231155	3	230149	13	19	231168	-999999	231158	0	FixationBlockPROC					SOCIALList						1	1	6	?	?	?	?										2	6														52	140153	-53	0	10
